Produto,Data,Volume Realizado (kg),Receita Realizada (R$),Custo Realizado (R$),Dia da Semana,Preço,Custo Realizado (R$/kg)
Produto_A,2025-11-03,29.90671953247617,40188.5527926,30213.367173,Segunda,1343.7967594191875,1010.2534696321619
Produto_A,2025-11-04,9.46716669413375,12253.5167254,9541.8872703,Terça,1294.3172040049521,1007.8926017234438
Produto_A,2025-11-05,16.43460854912903,21554.4587803,16580.9363247,Quarta,1311.528577992343,1008.9036361975731
Produto_A,2025-11-06,17.25602853526381,23035.6770706,17431.0765101,Quinta,1334.935035806478,1010.1441635008002
Produto_A,2025-11-07,1.176015338233504,1561.7272,1180.0404,Sexta,1327.9819992364003,1003.4226269298003
Produto_A,2025-11-10,18.1859172270157,24274.5015366,18304.2571239,Segunda,1334.7966579623235,1006.5072272906039
Produto_A,2025-11-11,27.57262041715509,35926.9683334,28322.5281174,Terça,1302.994339669182,1027.1975491955177
Produto_A,2025-11-12,21.36682222320461,28013.4914247,21676.5339813,Quarta,1311.0742969666792,1014.4949845540923
Produto_A,2025-11-13,32.46945206612264,42803.6249941,32932.206351,Quinta,1318.2737086826182,1014.2519893447841
Produto_A,2025-11-14,9.79318220075127,12563.9019415,9933.407847,Sexta,1282.9233321663492,1014.3187008445501
